7zip 25.01-1
libvterm 0.3.3-2
libwacom 2.16.1-1
libwebp 1.6.0-1
libwireplumber 0.5.10-1
libwmf 0.2.13-4
libwpd 0.10.3-5
libwps 0.4.14-3
libx11 1.8.12-1
libxau 1.0.12-1
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.4.38-1
libxcrypt-compat 4.4.38-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxdp 1.5.5-1
libxext 1.3.6-1
libxfce4ui 4.20.2-1
libxfce4util 4.20.1-1
libxfixes 6.0.1-2
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.11.0-1
libxkbcommon-x11 1.11.0-1
libxkbfile 1.1.3-1
libxklavier 5.4-6
libxml2 2.14.5-1
libxmlb 0.3.22-1
libxmu 1.2.1-1
libxnvctrl 580.76.05-1
libxpm 3.5.17-2
libxpresent 1.0.1-2
libxrandr 1.5.4-1
libxrender 0.9.12-1
libxres 1.2.2-2
libxshmfence 1.3.3-1
libxslt 1.1.43-2
libxss 1.2.4-2
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.4-1
libzmf 0.0.2-17
licenses 20240728-1
lilv 0.24.26-1
linux 6.16.1.arch1-1
linux-api-headers 6.16-1
linux-firmware-amdgpu 20250808-1
linux-firmware-mediatek 20250808-1
linux-firmware-nvidia 20250808-1
linux-firmware-other 20250808-1
linux-firmware-realtek 20250808-1
linux-firmware-whence 20250808-1
linux-headers 6.16.1.arch1-1
lksctp-tools 1.0.21-1
lld19 19.1.7-2
llhttp 9.2.1-2
llvm-libs 20.1.8-1
llvm19-libs 19.1.7-2
lm_sensors 1:3.6.2-1
lmdb 0.9.33-1
lostfiles 4.14-1
lpsolve 5.5.2.11-3
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.5-2
lua 5.4.8-2
lua-argparse 0.7.1-2
lua-filesystem 1.8.0-5
lua-language-server 3.15.0-1
lua51-lpeg 1.1.0-3
luacheck 1.2.0-2
luajit 2.1.1753364724-1
luarocks 3.12.2-1
lv2 1.18.10-1
lvm2 2.03.34-1
lxappearance 0.6.4-1
ly 1.1.2-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.20-1
mailcap 2.1.54-2
make 4.4.1-2
man-db 2.13.1-1
man-pages 6.15-1
mangohud 0.8.1-1
mbedtls2 2.28.10-1
md4c 0.5.2-1
mdadm 4.4-1
mercurial 7.1-1
mergiraf 0.13.0-1
mesa 1:25.1.7-1
mesa-utils 9.0.0-7
meson 1.8.3-1
mimalloc 2.2.4-1
minizip 1:1.3.1-2
mise 2025.8.7-1
mkinitcpio 39.2-3
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20250613-1
mold 2.40.4-1
moreutils 0.70-1
mpd 0.24.5-1
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.1-1
mpv 1:0.40.0-5
mpvpaper-git r115.7342c53-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mujs 1.3.7-1
mypaint-brushes1 1.3.1-2
namcap 3.5.2-3
nano 8.5-1
ncspot 1.3.0-1
ncurses 6.5-4
ndctl 79-1
neofetch 7.1.0-2
neohtop 1.2.0-1
neon 0.35.0-1
neovide 0.15.0-1
neovim 0.11.3-1
nerdctl 2.1.3-1
netavark 1.15.2-1
netstandard-targeting-pack 9.0.8.sdk109-1
nettle 3.10.2-1
network-manager-applet 1.36.0-1
networkmanager 1.54.0-1
nexusmods-app-bin 0.15.2-1
nim 2.0.8-1
ninja 1.12.1-2
nitrogen 1.6.1-6
nm-connection-editor 1.36.0-1
node-gyp 11.3.0-1
nodejs-lts-jod 22.18.0-1
nodejs-nativefier 52.0.0-1
nodejs-nopt 7.2.1-1
noto-fonts-emoji 1:2.048-1
npm 11.5.2-1
npth 1.8-1
nspr 4.37-1
nss 3.115-1
ntfs-3g 2022.10.3-2
ntfsfixboot 1.0-4
numactl 2.0.19-1
nushell 0.106.1-1
nvidia-container-toolkit 1.17.8-1
nvidia-dkms 580.76.05-4
nvidia-settings 580.76.05-1
nvidia-utils 580.76.05-4
nvm 0.40.3-1
nvrs 0.1.7-1
nvtop 3.2.0-1
nwg-look 1.0.6-1
oblivion-desktop-bin 2.106.5-0
obsidian 1.8.10-1
ocaml 5.3.0-1
ocaml-compiler-libs 5.3.0-1
ocl-icd 2.3.3-1
onetbb 2022.2.0-1
oniguruma 6.9.10-1
opam 2.4.1-2
openal 1.24.3-1
opencore-amr 0.1.6-2
openexr 3.3.5-1
openh264 2.6.0-1
openjpeg2 2.5.3-1
openmpi 5.0.8-2
openpmix 5.0.8-1
openrazer-daemon 3.10.3-1
openrazer-driver-dkms 3.10.3-1
openrgb 1.0rc1-1
openssh 10.0p1-4
openssl 3.5.2-1
openucx 1.19.0-1
opus 1.5.2-1
orc 0.4.41-1
otf-font-awesome 7.0.0-4
otf-font-awesome-4 4.7.0-7
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-6
pacman-contrib 1.12.0-1
pacman-mirrorlist 20250702-2
pacseek-git 1.8.5.247.a387593-1
pahole 1:1.30-2
pam 1.7.1-1
pambase 20250719-1
pamixer 1.6-3
pandoc-bin 3.7.0.2-1
pango 1:1.56.4-1
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
papirus-icon-theme 20250501-1
parallel 20250722-2
parted 3.6-2
paru 2.1.0-1
pass 1.7.4-7
passt 2025_08_05.309eefd-1
patch 2.8-1
pavucontrol 1:6.1-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.45-1
pcsclite 2.3.3-1
perf 6.16-1
perl 5.42.0-1
perl-clone 0.47-2
perl-encode-locale 1.05-14
perl-error 0.17030-2
perl-file-listing 6.16-5
perl-html-parser 3.83-2
perl-html-tagset 3.24-3
perl-http-cookiejar 0.014-4
perl-http-cookies 6.11-3
perl-http-daemon 6.16-5
perl-http-date 6.06-4
perl-http-message 7.00-2
perl-http-negotiate 6.01-15
perl-io-html 1.004-7
perl-io-tty 1.20-3
perl-ipc-run 20231003.0-2
perl-libwww 6.79-2
perl-lwp-mediatypes 6.04-7
perl-mailtools 2.22-2
perl-net-http 6.23-5
perl-time-duration 1:1.21-2
perl-timedate 2.33-8
perl-try-tiny 0.32-3
perl-uri 5.32-2
perl-www-robotrules 6.02-15
pfetch-rs 2.11.1-1
pinentry 1.3.2-1
pipewire 1:1.4.7-1
pipewire-alsa 1:1.4.7-1
pipewire-audio 1:1.4.7-1
pipewire-jack 1:1.4.7-1
pipewire-pulse 1:1.4.7-1
pixman 0.46.4-1
pkgconf 2.5.1-1
playerctl 2.4.1-4
pnpm 10.14.0-1
podman 5.5.2-1
podman-compose 1.5.0-1
podman-desktop 1.20.2-2
podman-tui 1.7.0-1
polars-cli-bin 0.9.0-1
polkit 126-2
polkit-gnome 0.105-11
polkit-kde-agent 6.4.4-1
polkit-qt6 0.200.0-1
polybar 3.7.2-2
polychromatic 0.9.5-1
poppler 25.08.0-1
poppler-data 0.4.12-2
poppler-glib 25.08.0-1
popt 1.19-2
portaudio 1:19.7.0-3
posting 2.7.0-1
pps-tools 1.0.3-2
procps-ng 4.0.5-3
protonplus 0.5.12-1
protontricks 1.12.1-1
prrte 3.0.11-1
